Alaa,C_H_S_4,CMP_LAB1,CMP_LAB2,CMP_LAB3,CMP_LAB4,Mariem,Mikasa,Nada,RehabLab,STUDBME1,STUDBME2,STUDBME3,tarek,location
-71,-100,-100,-100,-100,-100,-100,-100,-100,-85,-100,-63,-100,-100,electronics_lab
-63,-100,-100,-100,-100,-100,-100,-100,-100,-82,-100,-60,-100,-83,electronics_lab
-73,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-67,-100,-79,electronics_lab
-64,-100,-100,-100,-100,-100,-100,-100,-100,-82,-100,-64,-100,-100,electronics_lab
-61,-100,-100,-100,-100,-100,-100,-100,-100,-84,-100,-61,-100,-100,electronics_lab
-52,-100,-100,-100,-100,-100,-100,-100,-100,-84,-100,-57,-100,-74,electronics_lab
-54,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-59,-100,-100,electronics_lab
-58,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-62,-100,-100,electronics_lab
-63,-100,-100,-100,-100,-100,-100,-100,-100,-82,-100,-54,-100,-100,electronics_lab
-53,-73,-100,-100,-100,-100,-100,-100,-100,-100,-100,-60,-100,-100,electronics_lab
-61,-100,-100,-100,-100,-100,-100,-100,-100,-88,-100,-64,-100,-100,electronics_lab
-65,-100,-100,-100,-100,-100,-100,-100,-100,-86,-72,-56,-100,-100,electronics_lab
-61,-100,-100,-100,-100,-100,-100,-100,-100,-86,-100,-62,-100,-72,electronics_lab
-58,-100,-100,-100,-100,-74,-100,-100,-100,-82,-100,-55,-100,-100,electronics_lab
-67,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-56,-100,-77,electronics_lab
-66,-100,-100,-100,-70,-100,-100,-100,-100,-81,-100,-51,-100,-100,electronics_lab
-59,-100,-100,-100,-100,-100,-100,-100,-100,-86,-100,-52,-100,-100,electronics_lab
-66,-61,-100,-100,-100,-100,-100,-100,-100,-81,-100,-51,-100,-100,electronics_lab
-68,-100,-100,-100,-100,-100,-100,-100,-100,-86,-100,-54,-100,-80,electronics_lab
-100,-73,-100,-73,-100,-100,-100,-100,-100,-87,-100,-58,-100,-77,electronics_lab
-71,-74,-73,-100,-74,-100,-100,-100,-100,-88,-100,-54,-100,-100,electronics_lab
-58,-73,-100,-100,-100,-100,-100,-100,-100,-100,-100,-60,-100,-78,electronics_lab
-66,-100,-100,-100,-100,-100,-100,-100,-100,-100,-84,-69,-100,-77,electronics_lab
-61,-76,-100,-100,-100,-100,-100,-100,-100,-100,-100,-55,-100,-74,electronics_lab
-100,-76,-100,-100,-76,-100,-100,-100,-100,-82,-100,-55,-100,-100,electronics_lab
-61,-76,-100,-89,-100,-100,-100,-100,-100,-100,-100,-58,-100,-100,electronics_lab
-57,-100,-100,-100,-100,-100,-100,-100,-100,-85,-100,-56,-100,-100,electronics_lab
-50,-100,-100,-100,-100,-100,-100,-100,-100,-85,-100,-64,-100,-100,electronics_lab
-52,-78,-100,-100,-100,-100,-100,-100,-100,-100,-100,-64,-100,-100,electronics_lab
-58,-100,-100,-82,-100,-100,-100,-100,-100,-100,-100,-57,-100,-100,electronics_lab
